pmid	sentence
32275812	In this cohort of patients hospitalized for severe Covid-19 who were treated with compassionate-use remdesivir, clinical improvement was observed in 36 of 53 patients (68%).
32275812	Measurement of efficacy will require ongoing randomized, placebo-controlled trials of remdesivir therapy.
32275812	(Funded by Gilead Sciences.).
32391519	In pregnant women with severe or critical coronavirus disease 2019, admission into the hospital typically occurred about 7 days after symptom onset, and the duration of hospitalization was 6 days (6 [severe group] vs 12 [critical group]).
32391519	Women with critical disease had a high rate of acute respiratory distress syndrome, and there was 1 case of cardiac arrest, but there were no cases of cardiomyopathy or maternal mortality.
32391519	Hospitalization of pregnant women with severe or critical coronavirus disease 2019 resulted in delivery during the clinical course of the disease in 50% of this cohort, usually in the third trimester.
32391519	There were no perinatal deaths in this cohort.
32405423	Should repurposed drugs demonstrate efficacy against COVID-19, they could be manufactured profitably at very low costs, for much less than current list prices.
32405423	Estimations for the minimum production costs can strengthen price negotiations and help ensure affordable access to vital treatment for COVID-19 at low prices globally.
32407719	We describe a higher than previously recognized rate of severe disease requiring PICU admission in pediatric patients admitted to the hospital with COVID-19.
32496357	COVID-19 positive SOT at our institution had favorable short-term outcomes.
32496357	Those with concomitant infections had more severe illness.
32496357	More data will be available to evaluate long-term outcomes and disease impact on graft function.
32501511	This analysis provides pediatric-specific dosing suggestions for hydroxychloroquine and remdesivir and raises concerns regarding hydroxychloroquine use for COVID-19 treatment because concentrations were less than those needed to mediate an antiviral effect.
32553861	Critically ill children with coronavirus disease-2019-associated MIS-C have a spectrum of severity broader than described previously but still require careful supportive intensive care.
32553861	Rapid, complete clinical and myocardial recovery was almost universal.
32639466	Severe, protracted coronavirus disease 2019 is seen in pediatric patients, including those without significant comorbidities.
32639466	We observed a greater proportion of hospitalized children requiring mechanical ventilation than has been reported to date.
32639466	Older children, African-American or Hispanic children, and males may be at risk for severe coronavirus disease 2019 requiring hospitalization.
32639466	Hypoxia, thrombocytopenia, and elevated C-reactive protein may be useful markers of critical illness.
32639466	Data regarding optimal management and therapies for pediatric coronavirus disease 2019 are urgently needed.
32648899	As of July 1, 2020, more than 10 million people worldwide had been infected with SARS-CoV-2.
32648899	Many aspects of transmission, infection, and treatment remain unclear.
32648899	Advances in prevention and effective management of COVID-19 will require basic and clinical investigation and public health and clinical interventions.
32681989	Critically ill children with COVID-19 predominantly are adolescents, have comorbidities, and require some form of respiratory support.
32681989	The presence of ARDS is significantly associated with prolonged PICU and hospital stay.
32821939	Among patients with moderate COVID-19, those randomized to a 10-day course of remdesivir did not have a statistically significant difference in clinical status compared with standard care at 11 days after initiation of treatment.
32821939	Patients randomized to a 5-day course of remdesivir had a statistically significant difference in clinical status compared with standard care, but the difference was of uncertain clinical importance.TRIAL REGISTRATION: ClinicalTrials.gov Identifier: NCT04292730.
32856034	This large observational cohort describes the clinical course and identifies factors associated with the outcomes of hospitalized patients with COVID-19 across the United States.
32856034	These data can inform strategies to prioritize prevention and treatment for this disease.
33117850	Patients on remdesivir had lower, albeit not significant, all-cause in-hospital mortality, and the use of remdesivir did not increase the risk for AKI.
33117850	Promising signals from this study need to be confirmed by future placebo-controlled randomized clinical trials.
33151482	Careful consideration of disease severity and other determinants of COVID-19 drug use is necessary for appropriate conduct and interpretation of non-randomized studies evaluating outcomes of COVID-19 treatments.
33165238	Within a national prospective cohort of kidney and liver transplant recipients with HIV, we report high mortality from COVID-19.
33200953	Although in-hospital mortality and major adverse cardiovascular events did not differ by race/ethnicity after adjustment, Black and Hispanic patients bore a greater burden of mortality and morbidity because of their disproportionate representation among COVID-19 hospitalizations.
33289021	The COVID-19 pandemic has exposed the inconsistencies of US medical centers' methods for allocating a limited pharmacotherapy resource that required rapid, fair, ethical and equitable distribution.
33289021	The medical community, with citizen participation, needs to develop systems to continuously reevaluate criteria for treatment allocation as additional guidance and data emerge.
33483744	The unique collaboration of the 4 health systems in Utah led to statewide criteria for use of remdesivir for patients with COVID-19, ensuring similar access to this limited resource for all patients in Utah.
33537767	While we observed high rates of supportive care for patients with COVID-19, we also found that ADRs were common among patients receiving drug therapy, including those enrolled in clinical trials.
33537767	Comprehensive systems are needed to identify and mitigate ADRs associated with experimental COVID-19 treatments.
33760094	In this comparative effectiveness research study of adults hospitalized with COVID-19, receipt of remdesivir was associated with faster clinical improvement in a cohort of predominantly non-White patients.
33760094	Remdesivir plus corticosteroid administration did not reduce the time to death compared with remdesivir administered alone.
33822023	Minority patients were overrepresented among COVID-19 ED patients, and while they had similar risks of hospitalization as Whites, in-hospital mortality risk was higher.
33822023	Interventions targeting upstream social determinants of health are needed to reduce racial/ethnic disparities in COVID-19.
33854659	The mortality of patients admitted to our ICU system significantly decreased over time.
33854659	Factors that may have contributed to this may be the result of a better understanding of COVID-19 pathophysiology and treatments.
33854659	Further research is needed to elucidate the factors contributing to a reduction in the mortality rate for this patient population.
33939951	No significant differences in clinical outcomes were observed between patients treated with RDV, CP, or combination therapy.
33939951	Elderly patients, those with a high initial SOFA score, and those who require intubation are at increased risk of mortality associated with COVID-19.
33939951	Blood type did not affect clinical outcomes.
33973000	The risk of adverse outcomes in SARS-CoV-2-positive patients decreased markedly between February and July, with subsequent stabilization from July to September.
33973000	These trends were not explained by changes in measured baseline patient characteristics and may reflect changing treatment practices or viral pathogenicity.
34062054	Among children hospitalized for acute symptomatic COVID-19 at our institution, 34.2% had a diagnosis of asthma.
34062054	Asthmatics did not have a more severe course and required a lower level of care.
34062054	Outpatients had improved medication compliance and control and a low risk of hospitalization.
34062054	Biological and behavioral factors may have mitigated against severe disease.
34107241	GS-5734 (inactive prodrug) appears to be a superior remdesivir derivative due to its hepatic stability, optimum hydrophilic/lipophilic balance, and disposition properties.
34107241	Remdesivir disposition can potentially be affected by different physiological and pathological conditions, and by drug interactions from COVID-19 drug regimens and agents used for comorbidities.
34115801	This study found that anticoagulation was the most significant treatment for the reduction of COVID-related mortality.
34115801	Anticoagulation Only was the sole treatment category associated with a significant decrease in mortality for both intensive care and non-intensive care patients.
34115801	Treatment combinations that additionally included corticosteroids and/or remdesivir were also associated with decreased mortality, though only in the non-intensive care stratum.
34115801	Further, we found that factors other than measured changes in demographics, clinical characteristics or pharmacological interventions accounted for an additional decrease in the COVID-19-related mortality rate over time.
34151633	Barotrauma occurred at high rates in intubated critically ill patients with COVID-19 pneumonia and was found to be an independent risk factor for 30-day mortality.
34264329	In this cohort study of US veterans hospitalized with COVID-19, remdesivir treatment was not associated with improved survival but was associated with longer hospital stays.
34264329	Routine use of remdesivir may be associated with increased use of hospital beds while not being associated with improvements in survival.
34277310	We concluded that the use of TCZ in SARS-CoV-2-infected patients in El Paso, with or without RDV, reported no mortality benefit.
34277310	However, some minimal/non-use of ventilation benefit was observed in group 1.
34277310	Nonetheless, a randomized controlled trial study is recommended to ultimately determine the combination role of TCZ and RDV among this highly vulnerable group of patients.
34297766	We recommend that regulatory bodies take all available evidence into account for endorsement decisions.
34297766	A Bayesian approach can be beneficial, in particular in case of statistically non-significant results.
34297766	This is especially pressing when limited clinical efficacy data is available.
34324514	Among hospitalized patients with COVID-19, we observed a trend towards decreased disease severity and mortality over time.
